"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0","EN_INDCi2030_1000f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,8133.04328918457,9101.773262023926,9681.992530822754,10089.9600982666,"",9456.451416015623,"",8780.989646911621,"",9201.396942138672,"",10167.71030426025,"",11303.25984954834
"AIM/CGE 2.2","EN_NPi2020_1800f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3371.4789,3726.4493,4036.4871,4327.0634,4595.8331,4825.6584,5032.1555,5229.5791,5414.0167,5592.7998,5759.9507,5936.451,6102.9087,6268.2447,6427.1278,6578.2744
"IMAGE 3.2","SSP2_SPA2_19I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7719.171047210693,8614.048957824707,9443.427085876465,9924.748420715332,10036.87953948975,10613.53969573975,12342.63038635254,15225.35037994385,18596.3191986084,21362.93983459473,22701.53999328613,22687.24060058594,21935.20927429199,21028.32984924316,20237.36000061035,19592.8897857666
"IMAGE 3.2","SSP2_SPA2_45I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.573917388916,7729.979991912842,8635.808944702148,9485.350608825684,10387.61043548584,11995.40996551514,14295.84980010986,16628.6792755127,18963.94920349121,21337.1696472168,23750.75912475586,26018.16940307617,27915.33088684082,29356.01043701172,30375.37002563477,31078.10020446777,31503.01933288574
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg900","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5882,5309.1223,6980.5257,6402.7428,6413.1668,7200.7263,7013.1527,7539.1496,8017.9938,8678.892,9612.2407,"",11527.4955,"",13695.5674,"",16120.1083,"",19573.5842
"REMIND-Transport 2.1","Transport_NPi_Conv","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5169.3046,5514.7725,7345.9726,12274.6603,15188.3449,16604.1747,17455.2748,17453.7823,16696.3849,17215.2041,17242.8372,17441.9908,"",17725.2534,"",18328.9493,"",18982.6217,"",18928.7456
"IMAGE 3.2","SSP1-baseline","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.509954452514,5859.042167663574,2529.5569896698,7500.223159790039,8265.891075134277,8859.530448913574,9219.482421875,9794.079780578611,10696.45023345947,11488.86966705322,12249.03964996338,13052.59990692139,13863.53969573975,14579.97035980225,15094.18964385986,15311.53964996338,15208.6296081543,14807.62004852295,14169.38972473144
"IMAGE 3.2","SSP2_SPA2_34I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.573917388916,7729.978084564209,8635.798454284668,9483.11710357666,10353.26957702637,11873.18992614746,14034.66033935547,16201.74026489258,18362.23983764648,20520.20072937012,22616.3501739502,24506.3591003418,26059.29946899414,27214.99061584473,28019.21081542969,28550.48942565918,28854.94995117188
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5882,5307.8148,7809.4917,7102.5757,7858.6533,9652.9502,10549.5822,11901.203,12989.1915,13845.5632,15158.3188,"",17642.0428,"",20808.8568,"",24619.7094,"",28861.9586
"AIM/CGE 2.2","EN_NPi2020_500f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3600.6058,3917.9211,4246.7186,4521.7939,4723.4563,4920.6555,5134.89,5351.4781,5560.5125,5745.4215,5930.4529,6107.5856,6278.4685,6439.0163,6590.5741
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg1100","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5882,5308.8051,7181.7349,6692.2584,6986.2812,8106.7452,8258.1241,8874.8118,9495.4765,10140.9973,10819.3812,"",12375.8855,"",14523.0643,"",17329.1526,"",21103.6208
"IMAGE 3.2","SSP5-baseline","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.5729637146,8509.19246673584,11116.39976501465,14214.83039855957,18897.27020263672,25256.4697265625,33897.46856689453,43355.86929321289,52739.34173583984,61354.04968261719,69011.71875,75543.16711425781,80517.01354980469,83563.3773803711,84787.24670410156,84379.92095947266,82366.73736572266
"IMAGE 3.0","EN_INDCi2030_3000","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,8385.491371154785,10094.2497253418,11805.02986907959,13433.95042419434,"",16397.68028259277,"",18908.6799621582,"",21657.93037414551,"",24853.90090942383,"",27900.36964416504
