year,observed,freeze-all|klower|splice2019,freeze-all|klower|splice2000,freeze-all|klower|splice2019|rescaled,freeze-all|endpoint|splice2019,freeze-all|endpoint|splice2000,freeze-all|endpoint|splice2019|rescaled,fuel-side|klower|splice2019,fuel-side|klower|splice2000,fuel-side|klower|splice2019|rescaled,fuel-side|endpoint|splice2019,fuel-side|endpoint|splice2000,fuel-side|endpoint|splice2019|rescaled,fuel-side-and-gauge|klower|splice2019,fuel-side-and-gauge|klower|splice2000,fuel-side-and-gauge|klower|splice2019|rescaled,fuel-side-and-gauge|endpoint|splice2019,fuel-side-and-gauge|endpoint|splice2000,fuel-side-and-gauge|endpoint|splice2019|rescaled,R0,R0_traffic_ratio,R1,R1_traffic_ratio,R2,R2_traffic_ratio
2010,632.42429952,1190.1869967081977,1190.1869967081977,1289.4935886592332,1147.813640790922,1147.813640790922,1147.813640790922,1029.7250486948428,1029.7250486948428,1115.64304772804,993.0645019858299,993.0645019858299,993.0645019858299,1221.7155214090599,1221.7155214090599,1323.6527842932735,1178.2196785192402,1178.2196785192402,1178.2196785192402,1190.1869967081977,1.0,1028.2990170376102,0.863981054978474,973.9530799593632,0.8824775514667105
2011,651.1804416,1270.641247776181,1270.641247776181,1376.6607659343015,1225.4035380850946,1225.4035380850946,1225.4035380850946,1101.6376324695918,1101.6376324695918,1193.555859729795,1062.4168347112513,1062.4168347112513,1062.4168347112513,1287.7731180347978,1287.7731180347978,1395.2220818630828,1241.925474914759,1241.925474914759,1241.925474914759,1270.641247776181,1.0,1086.290584545501,0.8549152535750572,1030.443524508447,0.8733451813808646
2012,658.22911232,1338.611963531802,1338.611963531802,1450.3028090971554,1290.9543422313375,1290.9543422313375,1290.9543422313375,1147.9758735378193,1147.9758735378193,1243.760461975063,1107.1053293221614,1107.1053293221614,1107.1053293221614,1320.038244710375,1320.038244710375,1430.1793399246371,1273.0418899171943,1273.0418899171943,1273.0418899171943,1338.611963531802,1.0,1130.3297995389635,0.8444043758257579,1068.1698861428335,0.8646623744211862
2013,676.93793024,1409.2685513071735,1409.2685513071735,1526.854827548772,1359.0953952630205,1359.0953952630205,1359.0953952630205,1199.145783420209,1199.145783420209,1299.1998768805424,1156.4534743812937,1156.4534743812937,1156.4534743812937,1360.990136260146,1360.990136260146,1474.5481674643022,1312.5358012664392,1312.5358012664392,1312.5358012664392,1409.2685513071735,1.0,1181.506251128806,0.838382613471999,1113.7208023808216,0.8598417966952644
2014,698.2338022399999,1494.3650205074418,1494.3650205074418,1619.051559452899,1441.1622371974058,1441.1622371974058,1441.1622371974058,1267.782615249045,1267.782615249045,1373.5636153804226,1222.6466793580792,1222.6466793580792,1222.6466793580792,1415.7835762358304,1415.7835762358304,1533.9134518646933,1365.3784705309304,1365.3784705309304,1365.3784705309304,1494.3650205074418,1.0,1242.1240547377859,0.8312052528611769,1170.2902937879917,0.8532238075619145
2015,736.36655872,1606.4184617398414,1606.4184617398414,1740.4544939968132,1549.226321832709,1549.226321832709,1549.226321832709,1354.0112668631746,1354.0112668631746,1466.9869965152204,1305.8053954450872,1305.8053954450872,1305.8053954450872,1487.2186939741646,1487.2186939741646,1611.3089591114287,1434.2703360935216,1434.2703360935216,1434.2703360935216,1606.4184617398414,1.0,1327.2239648097068,0.8262006422487504,1247.919415995347,0.8492305278773639
2016,771.9806182399999,1725.6312510299206,1725.6312510299206,1869.6141368940296,1664.1948655005028,1664.1948655005028,1664.1948655005028,1453.2371304445207,1453.2371304445207,1574.4920484702554,1401.4985932811683,1401.4985932811683,1401.4985932811683,1566.7996425102776,1566.7996425102776,1697.5299674072348,1511.0180224062346,1511.0180224062346,1511.0180224062346,1725.6312510299206,1.0,1414.6451574765695,0.819784155295204,1330.0786057441833,0.8431809638658546
2017,817.5274747328,1863.2772432396578,1863.2772432396578,2018.7450087234179,1796.9403482654038,1796.9403482654038,1796.9403482654038,1546.631326175186,1546.631326175186,1675.6788510027693,1491.5677438657776,1491.5677438657776,1491.5677438657776,1649.2761793377886,1649.2761793377886,1786.888165529078,1590.5582075012178,1590.5582075012178,1590.5582075012178,1863.2772432396578,1.0,1517.8854164484903,0.8146320800920432,1419.6891604310683,0.8402658985685061
2018,860.03890336,1999.038828026586,1999.038828026586,2165.834242308686,1927.868512784777,1927.868512784777,1927.868512784777,1656.76052619014,1656.76052619014,1794.9969898634906,1597.7760946343317,1597.7760946343317,1597.7760946343317,1727.1388666899952,1727.1388666899952,1871.2475446973458,1665.6488066244522,1665.6488066244522,1665.6488066244522,1999.038828026586,1.0,1618.0032689858415,0.8093906162808775,1513.228955238654,0.8353635946646464
2019,938.07918,2091.5406369785956,2091.5406369785956,2266.054199267468,2017.077047583602,2017.077047583602,2017.077047583602,1717.0166313997772,1717.0166313997772,1860.2807323008594,1655.886945863461,1655.886945863461,1655.886945863461,1788.2325976733366,1788.2325976733366,1937.4388025653777,1724.5674622503655,1724.5674622503655,1724.5674622503655,2091.5406369785956,1.0,1716.031329123619,0.8204628199825794,1597.581214792764,0.8474443834306701
2020,510.8018659772679,712.302626151824,712.302626151824,771.7355946152267,686.9430374634749,686.9430374634749,686.9430374634749,741.2913674118112,741.2913674118112,803.1430928499092,714.8997138005544,714.8997138005544,714.8997138005544,891.3638989772625,891.3638989772625,965.73734721728,859.6293229420361,859.6293229420361,859.6293229420361,712.302626151824,1.0,665.2470722793354,0.9339388173721839,675.2117404710235,0.9296988035629798
2021,471.2992086167495,874.3652855883862,874.3652855883862,947.320406819109,843.23589873538,843.23589873538,843.23589873538,874.3777697977114,874.3777697977114,947.3339326834722,843.2479384785443,843.2479384785443,843.2479384785443,1072.4813556216268,1072.4813556216268,1161.9668471052164,1034.298587433025,1034.298587433025,1034.298587433025,874.3652855883862,1.0,758.5370402544893,0.86752876944794,758.5370402544893,0.86752876944794
2022,661.4348676034332,1435.8049958309093,1435.8049958309093,1555.6054147874243,1384.6870821884181,1384.6870821884181,1384.6870821884181,1235.6499115144472,1235.6499115144472,1338.7498293395308,1191.6579727396456,1191.6579727396456,1191.6579727396456,1361.9129061552069,1361.9129061552069,1475.5479312550174,1313.425718460789,1313.425718460789,1313.425718460789,1435.8049958309093,1.0,1188.132187722253,0.8275024750381743,1125.5861814937864,0.8477230141962709
2023,869.3180567929511,1985.94043418157,1985.94043418157,2151.6429472167415,1915.2364514621922,1915.2364514621922,1915.2364514621922,1635.6266690012094,1635.6266690012094,1772.0997699945633,1577.3946506838654,1577.3946506838654,1577.3946506838654,1714.2200881591427,1714.2200881591427,1857.250851627335,1653.1899659035557,1653.1899659035557,1653.1899659035557,1985.94043418157,1.0,1616.578345559014,0.8140114968882364,1507.86367161338,0.840699847331729
2024,923.3730183631043,2196.208775074177,2196.208775074177,2379.4556171828435,2118.0187626204633,2118.0187626204633,2118.0187626204633,1784.9995863075915,1784.9995863075915,1933.936035823915,1721.4495534203263,1721.4495534203263,1721.4495534203263,1868.609037498295,1868.609037498295,2024.5216761980068,1802.0823185582074,1802.0823185582074,1802.0823185582074,2196.208775074177,1.0,1764.0146008154682,0.8032089757750324,1638.5268897540184,0.8321557155530029
