run,case,case_label,biomass_share_world_pct,efficiency_gain_pct_per_yr,carbon_budget_share_world_pct,objective_kind,constraint,constraint_name,component,year,g_value,g_bound,slack,active,ineq_tolerance,lambda_raw,objective_scale,f_opt_scaled,kkt_residual,kkt_residual_relative,objective_grad_norm,max_constraint_violation,run_feasible,termination_message,x_eval_distance_from_x_opt,n_database_entries,min_residual_kerosene_fraction,blend_degenerate,n_gradient_points,lambda_eur_discounted2020_per_unit_g,f_opt_eur_discounted2020,budget_adjusted_gtco2,shadow_price_eur_per_tco2_discounted2020,undiscount_factor_to_year,shadow_price_eur_per_tco2_undiscounted_year,allocated_resource_mj,allocated_resource_ej,shadow_price_eur_per_gj_discounted2020,shadow_price_eur_per_ej_discounted2020,shadow_price_eur_per_gj_undiscounted_year,shadow_price_eur_per_ej_undiscounted_year,ramp_branch_active,ramp_rate_cap_mj,ramp_volume_cap_mj,ramp_previous_consumption_mj,shadow_price_eur_per_gj_of_cap_discounted2020,d_obj_d_volume_bound_eur_per_ej_per_yr_discounted2020,d_obj_d_rate_bound_eur_per_unit_tau_discounted2020,shadow_price_eur_per_gj_of_cap_undiscounted_year,d_obj_d_volume_bound_eur_per_ej_per_yr_undiscounted_year,d_obj_d_rate_bound_eur_per_unit_tau_undiscounted_year,lambda_gtco2_per_unit_g
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G2,blend_completeness_constraint,3,2045.0,-0.1274386238596378,0.0,0.1274386238596378,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,3.005434456537094,,,,,,,,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G2,blend_completeness_constraint,4,2050.0,2.022403577939258e-11,0.0,2.022403577939258e-11,True,0.0001,5.572382160229215,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,55723821602.292145,49817113589.0611,,,3.7453181345368614,,,,,,,,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G3,biomass_trajectory_constraint,0,2030.0,-0.8054225612578992,0.0,0.8054225612578992,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,1.552969421732896,,1675243500000.0,1.6752435,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G3,biomass_trajectory_constraint,1,2035.0,-0.5890671708691358,0.0,0.5890671708691358,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,1.9352824430911528,,1973813250000.0,1.97381325,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G3,biomass_trajectory_constraint,2,2040.0,-0.1118192570177645,0.0,0.1118192570177645,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,2.411714024837406,,2272383000000.0,2.272383,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G3,biomass_trajectory_constraint,3,2045.0,2.842170943040401e-16,0.0,2.842170943040401e-16,True,0.0001,10.54856773001354,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,105485677300.13539,49817113589.0611,,,3.005434456537094,,2318853000000.0,2.318853,45.49045467743552,45490454677.435524,136.71857993110373,136718579931.10374,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G3,biomass_trajectory_constraint,4,2050.0,8.440151053434875e-07,0.0,8.440151053434875e-07,True,0.0001,1.1003529054160113,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,11003529054.160112,49817113589.0611,,,3.7453181345368614,,2365323000000.0,2.365323,4.652019641359811,4652019641.359811,17.423293525006564,17423293525.006565,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G4,electricity_trajectory_constraint,0,2030.0,-0.9999999601476669,0.0,0.9999999601476669,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,1.552969421732896,,1065287574000.0001,1.065287574,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G4,electricity_trajectory_constraint,1,2035.0,-0.9924519838124622,0.0,0.9924519838124622,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,1.9352824430911528,,1356710238000.0002,1.3567102380000002,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G4,electricity_trajectory_constraint,2,2040.0,-0.7847339938612641,0.0,0.7847339938612641,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,2.411714024837406,,1648132902000.0002,1.6481329020000002,0.0,0.0,0.0,0.0,,,,,,,,,,,
