run,block,year,rpk,rpk_no_elasticity,ask,airfare_per_rpk,total_cost_per_rpk,co2_emissions,cumulative_co2_emissions,biofuel_mandate_share,electrofuel_mandate_share,biofuel_energy,electrofuel_energy,dropin_energy,biomass_allocated_share,electricity_allocated_share,area_loss,total_airline_cost,cumulative_total_airline_cost_discounted,cumulative_total_surplus_loss_discounted
efuel_wind,C,2024,1361496901347.7095,1361496901347.7095,1613982106501.2495,0.09036581500357434,0.08570856243696866,,0.5704085313085648,1.6,0.0,28248342439.512722,0.0,1765521402469.5452,5.76910332372609,0.0,-0.0,116691942176.89952,2782456633695.9546,-20473189079.527313
efuel_wind,C,2025,1422540591591.548,1391449833177.3591,1679373859390.2847,0.09012355190040036,0.08525817466990727,,0.7280117083806406,2.0,0.0,36088527006.640396,0.0,1804426350332.0198,7.268667295714845,0.0,-2836564207.6339803,121283214232.94543,2879780475880.1484,-22749392996.409576
efuel_wind,C,2026,1456292985096.2654,1422061729507.2612,1712417569879.034,0.08995465442160168,0.0850731871115104,,0.8849445982863757,3.2713910627410607,2e-07,59365309501.3742,3629.3618441099907,1814680922054.9956,11.794274417539546,8.701663707714601e-07,-3120149597.9825945,123891485610.27463,2974916219689.229,-25145342575.490753
efuel_wind,C,2027,1490775098824.692,1453347087556.421,1746336325133.2627,0.08979083264128293,0.08489370385648305,,1.0411811472682957,4.5427821254821215,4e-07,82898409891.44157,7299.35159570468,1824837898926.1704,16.248672667175125,1.7011143999509772e-06,-3408411926.0996957,126557419756.24265,3067914213256.98,-27649940654.29309
efuel_wind,C,2028,1526013217946.6985,1485320723482.662,1781167222578.8105,0.08963125491632716,0.08471881810393624,,1.1966866572234798,5.814173188223183,6e-07,106678002329.05576,11008.753837447004,1834792306241.1675,20.632790093725095,2.4957704267634536e-06,-3702387542.5894094,129282036235.42876,3158823418321.9824,-30253404508.516724
efuel_wind,C,2029,1562038044145.9768,1517997779399.2808,1816952825683.7163,0.08947490316709145,0.08454741748313796,,1.3514160062953433,7.085564250964244,8e-07,130687113448.66995,14755.30911242647,1844413639053.309,24.946141887673644,3.256520257108378e-06,-4003472059.452174,132066282642.95418,3247691404665.1313,-32947358583.580994
efuel_wind,C,2030,1598885079597.6555,1551393730546.065,1853741578972.2031,0.08932057666684974,0.08437818796373805,,1.5053119779967399,8.356955313705305,1e-06,154899997787.20648,18535.458426249137,1853545842624.9136,29.18661539437546,3.985223984346953e-06,-4313451274.235248,134911025778.70726,3334564348775.11,-35724909264.148834
efuel_wind,C,2031,1632221358929.7222,1585524392618.0786,1886533130034.3384,0.08943241335490351,0.08450082938447744,,1.6564604906207492,10.815612413847594,1e-06,200931865462.15735,18577.94619238551,1857794619238.5508,36.55697513594605,3.7871544450093467e-06,-4243966670.951876,137924058568.62036,3419552979713.165,-38340036174.233795
efuel_wind,C,2032,1666437919303.125,1620405929255.6763,1920440388459.1497,0.08953333111300248,0.08461147496784228,,1.8047909019720731,13.274269513989886,1e-06,247078608710.80203,18613.348813688273,1861334881368.8271,43.45707289083983,3.6072478371230084e-06,-4185901251.3776703,140999770294.57953,3502695449210.2524,-40808310884.06763
efuel_wind,C,2033,1701582465421.8362,1656054859699.3013,1955524454028.7163,0.08962203068833079,0.0847087074277353,,1.950224154112289,15.732926614132175,1e-06,293263844953.3671,18640.13302457926,1864013302457.926,49.919336219341616,3.4426600997578098e-06,-4142093865.751563,144138851227.58282,3584028915327.16,-43145576986.95361
efuel_wind,C,2034,1737697265983.8616,1692488066612.6858,1991840614062.248,0.08969767824537488,0.0847916195997657,,2.092678428720557,18.191583714274465,1e-06,339407148324.0851,18657.372203265684,1865737220326.5684,55.971479348829014,3.2911648479253026e-06,-4114867709.940537,147342165556.85645,3663589686188.5854,-45367493881.94678
efuel_wind,C,2035,1774810631671.8699,1729722804078.1648,2029428765503.8335,0.08976034770916966,0.08486029855077505,,2.2320776410161494,20.650240814416755,1e-06,385440755556.00336,18665.19422315462,1866519422315.462,61.639887752055834,3.1510963023850384e-06,-4105259547.0820556,150610960074.76453,3741413448096.02,-47488765410.936035
efuel_wind,C,2036,1808085414542.8342,1767776705767.8845,2062778776107.6514,0.09007873441002975,0.08520909321222701,,2.366444042632433,24.313781831975366,0.057468552436281455,452796044956.5241,1070238000.5032213,1862301998453.5942,70.28504127088587,0.17323745593428547,-3676646027.5544043,154065318623.4485,3817594021861.2144,-49306754082.32019
efuel_wind,C,2037,1842396568738.157,1806667793294.7778,2097485032135.544,0.0903757610439768,0.08553430424042814,,2.495781961372618,27.977322849533977,0.11493610487256291,519774489545.70667,2135331373.977525,1857842125714.2002,78.38012686305909,0.33196818048122345,-3264285542.4872603,157588108641.9704,3892160993497.5635,-50851336916.375244
efuel_wind,C,2038,1877688020828.469,1846414484747.2632,2133491489842.6716,0.09065610425471564,0.08584108780856353,,2.620126119179685,31.640863867092584,0.17240365730884435,586484089484.2831,3195614456.2063417,1853565351274.254,85.98674859442094,0.4778983586910865,-2861681883.432154,161182782273.02448,3965144616762.584,-52147107528.71628
efuel_wind,C,2039,1913880690056.8633,1887035603411.7031,2170717679585.3242,0.09092542780099223,0.08613566650116072,,2.739540386029609,35.30440488465119,0.22987120974512582,653111977617.9436,4252490330.4442577,1849944729990.019,93.17114927277312,0.6126379475099295,-2460111552.9315,164853388841.74933,4036575884966.6333,-53213078264.19214
efuel_wind,C,2040,1950887588899.9124,1928550386686.7605,2209075917243.208,0.09118949472562418,0.08642435802691888,,2.854110421328012,38.967945902209806,0.28733876218140725,719898496642.8029,5308330683.908811,1847411968927.9763,100.00000005948581,0.7377037737827811,-2049980313.6232545,168604207453.35855,4106486415699.947,-54063087963.72998
efuel_wind,C,2041,1991462025815.1177,1970978495193.8691,2251691617450.2197,0.0913088160853358,0.08655476187853717,,2.9662560412750194,39.027971403839956,1.8858623248034905,721431097898.877,34860119000.06796,1848497556877.618,99.80469220780802,4.703489405062795,-1881092452.9039893,172370521434.57675,4174880871138.182,-54809481795.31201
